episode,player_A_name,player_B_name,player_A_type,player_B_type,score_A,score_B,winner_name
1,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
2,model4-12,RNN_Gen4,QNet,QNetRNN,3,1,model4-12
3,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
4,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
5,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
6,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
7,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
8,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
9,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
10,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
11,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
12,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
13,model4-12,RNN_Gen4,QNet,QNetRNN,3,2,model4-12
14,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
15,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
16,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
17,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
18,model4-12,RNN_Gen4,QNet,QNetRNN,3,1,model4-12
19,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
20,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
21,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
22,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
23,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
24,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
25,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
26,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
27,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
28,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
29,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
30,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
31,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
32,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
33,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
34,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
35,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
36,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
37,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
38,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
39,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
40,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
41,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
42,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
43,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
44,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
45,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
46,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
47,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
48,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
49,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
50,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
51,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
52,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
53,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
54,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
55,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
56,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
57,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
58,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
59,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
60,model4-12,RNN_Gen4,QNet,QNetRNN,3,1,model4-12
61,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
62,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
63,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
64,model4-12,RNN_Gen4,QNet,QNetRNN,3,2,model4-12
65,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
66,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
67,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
68,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
69,model4-12,RNN_Gen4,QNet,QNetRNN,3,1,model4-12
70,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
71,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
72,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
73,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
74,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
75,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
76,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
77,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
78,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
79,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
80,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
81,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
82,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
83,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
84,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
85,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
86,model4-12,RNN_Gen4,QNet,QNetRNN,3,2,model4-12
87,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
88,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
89,model4-12,RNN_Gen4,QNet,QNetRNN,0,3,RNN_Gen4
90,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
91,model4-12,RNN_Gen4,QNet,QNetRNN,3,2,model4-12
92,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
93,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
94,model4-12,RNN_Gen4,QNet,QNetRNN,3,1,model4-12
95,model4-12,RNN_Gen4,QNet,QNetRNN,1,3,RNN_Gen4
96,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
97,model4-12,RNN_Gen4,QNet,QNetRNN,3,0,model4-12
98,model4-12,RNN_Gen4,QNet,QNetRNN,2,3,RNN_Gen4
